Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.0,0.0,0.0
3.0,,,,,,,,,0.0,-0.5,0.0,0.0
6.0,,,,,,,,,0.0,-0.7,0.0,0.0
9.0,,,,,,,,,0.0,-0.5,0.0,0.0
12.0,,,,,,,,,0.0,0.7,0.0,0.0
15.0,,,,,,,,,0.0,0.2,0.0,0.0
18.0,,,,,,,,,0.0,-0.7,0.0,0.0
21.0,,,,,,,,,0.0,-0.5,0.0,0.0
24.0,,,,,,,,,0.094,1.7,0.14,0.014
27.0,,,,,,,,,0.093,1.9,0.14,0.02
30.0,,,,,,,,,0.093,22.1,0.19,0.024
33.0,,,,,,,,,0.092,99.4,0.5,0.011
36.0,,,,,,,,,0.093,177.1,0.96,0.004
39.0,,,,,,,,,0.092,230.6,1.45,0.004
42.0,,,,,,,,,0.092,260.7,1.9,0.005
45.0,,,,,,,,,0.09,269.4,2.27,0.005
48.0,,,,,,,,,0.09,254.1,2.46,0.008
51.0,,,,,,,,,0.089,227.9,2.52,0.012
54.0,,,,,,,,,0.088,196.8,2.45,0.016
57.0,,,,,,,,,0.088,170.4,2.34,0.015
60.0,,,,,,,,,0.087,149.3,2.22,0.012
63.0,,,,,,,,,0.086,132.4,2.09,0.01
66.0,,,,,,,,,0.085,118.6,1.98,0.008
69.0,,,,,,,,,0.084,109.6,1.87,0.008
72.0,,,,,,,,,0.083,103.7,1.78,0.01
75.0,,,,,,,,,0.083,97.4,1.69,0.012
78.0,,,,,,,,,0.082,93.8,1.61,0.015
81.0,,,,,,,,,0.082,91.3,1.55,0.017
84.0,,,,,,,,,0.081,89.5,1.5,0.02
87.0,,,,,,,,,0.081,85.7,1.45,0.023
90.0,,,,,,,,,0.079,84.6,1.42,0.025
93.0,,,,,,,,,0.078,82.5,1.41,0.024
96.0,,,,,,,,,0.077,84.5,1.41,0.021
99.0,,,,,,,,,0.076,88.1,1.41,0.023
102.0,,,,,,,,,0.075,87.0,1.4,0.025
105.0,,,,,,,,,0.075,85.9,1.39,0.025
108.0,,,,,,,,,0.074,85.1,1.4,0.022
111.0,,,,,,,,,0.074,86.2,1.41,0.018
114.0,,,,,,,,,0.073,86.3,1.41,0.021
117.0,,,,,,,,,0.073,84.3,1.42,0.022
120.0,,,,,,,,,0.072,83.8,1.43,0.024
123.0,,,,,,,,,0.071,86.5,1.46,0.028
126.0,,,,,,,,,0.071,87.6,1.47,0.028
129.0,,,,,,,,,0.07,86.9,1.48,0.027
132.0,,,,,,,,,0.07,84.4,1.49,0.031
135.0,,,,,,,,,0.069,82.0,1.49,0.035
138.0,,,,,,,,,0.068,79.2,1.48,0.036
141.0,,,,,,,,,0.066,74.1,1.47,0.038
144.0,,,,,,,,,0.065,73.5,1.48,0.038
147.0,,,,,,,,,0.064,75.3,1.5,0.039
150.0,,,,,,,,,0.063,77.0,1.51,0.038
153.0,,,,,,,,,0.063,76.1,1.5,0.037
156.0,,,,,,,,,0.062,76.4,1.49,0.037
159.0,,,,,,,,,0.063,74.7,1.47,0.038
162.0,,,,,,,,,0.062,76.7,1.47,0.036
165.0,,,,,,,,,0.062,77.1,1.47,0.035
168.0,,,,,,,,,0.061,76.7,1.47,0.032
171.0,,,,,,,,,0.061,75.4,1.48,0.032
174.0,,,,,,,,,0.06,78.5,1.52,0.034
177.0,,,,,,,,,0.06,80.1,1.53,0.037
180.0,,,,,,,,,0.059,76.3,1.53,0.037
183.0,,,,,,,,,0.058,73.6,1.53,0.039
186.0,,,,,,,,,0.058,72.8,1.53,0.042
189.0,,,,,,,,,0.057,72.4,1.54,0.045
192.0,,,,,,,,,0.056,73.2,1.55,0.046
195.0,,,,,,,,,0.056,71.3,1.58,0.045
198.0,,,,,,,,,0.055,71.8,1.57,0.045
201.0,,,,,,,,,0.055,72.4,1.57,0.047
204.0,,,,,,,,,0.055,75.2,1.61,0.045
207.0,,,,,,,,,0.054,76.6,1.65,0.045
210.0,,,,,,,,,0.054,75.8,1.66,0.044
213.0,,,,,,,,,0.054,75.6,1.66,0.044
216.0,,,,,,,,,0.053,72.0,1.65,0.043
219.0,,,,,,,,,0.053,69.4,1.64,0.042
222.0,,,,,,,,,0.053,68.3,1.62,0.041
225.0,,,,,,,,,0.052,66.1,1.6,0.039
228.0,,,,,,,,,0.052,67.1,1.57,0.04
231.0,,,,,,,,,0.053,66.3,1.56,0.04
234.0,,,,,,,,,0.053,66.8,1.55,0.041
237.0,,,,,,,,,0.053,67.4,1.54,0.042
240.0,,,,,,,,,0.053,65.8,1.52,0.043
243.0,,,,,,,,,0.053,66.7,1.51,0.045
246.0,,,,,,,,,0.053,66.9,1.5,0.046
249.0,,,,,,,,,0.053,69.5,1.52,0.046
252.0,,,,,,,,,0.054,70.8,1.52,0.048
255.0,,,,,,,,,0.054,68.6,1.53,0.049
258.0,,,,,,,,,0.054,68.9,1.53,0.045
261.0,,,,,,,,,0.054,68.7,1.53,0.045
264.0,,,,,,,,,0.053,68.7,1.54,0.046
267.0,,,,,,,,,0.053,71.6,1.58,0.046
270.0,,,,,,,,,0.052,70.1,1.61,0.046
273.0,,,,,,,,,0.052,71.0,1.62,0.042
276.0,,,,,,,,,0.052,74.7,1.63,0.042
279.0,,,,,,,,,0.052,73.1,1.63,0.041
282.0,,,,,,,,,0.052,76.1,1.65,0.043
285.0,,,,,,,,,0.052,78.2,1.68,0.044
288.0,,,,,,,,,0.052,74.8,1.67,0.038
291.0,,,,,,,,,0.052,74.1,1.68,0.034
294.0,,,,,,,,,0.051,74.1,1.66,0.035
297.0,,,,,,,,,0.051,72.9,1.66,0.037
300.0,,,,,,,,,0.051,72.3,1.66,0.039
303.0,,,,,,,,,0.05,73.1,1.67,0.037
306.0,,,,,,,,,0.05,73.2,1.7,0.038
309.0,,,,,,,,,0.049,74.0,1.72,0.041
312.0,,,,,,,,,0.049,75.6,1.74,0.043
315.0,,,,,,,,,0.049,77.7,1.77,0.046
318.0,,,,,,,,,0.048,78.3,1.83,0.046
321.0,,,,,,,,,0.048,75.4,1.84,0.045
324.0,,,,,,,,,0.047,73.4,1.84,0.046
327.0,,,,,,,,,0.046,72.4,1.85,0.051
330.0,,,,,,,,,0.046,71.3,1.87,0.053
333.0,,,,,,,,,0.045,70.4,1.9,0.055
336.0,,,,,,,,,0.044,71.9,1.95,0.055
339.0,,,,,,,,,0.043,72.2,1.99,0.056
342.0,,,,,,,,,0.042,70.8,2.04,0.055
345.0,,,,,,,,,0.041,70.9,2.06,0.055
348.0,,,,,,,,,0.04,67.4,2.07,0.054
351.0,,,,,,,,,0.04,68.1,2.08,0.053
354.0,,,,,,,,,0.039,67.1,2.07,0.054
357.0,,,,,,,,,0.039,68.0,2.1,0.058
360.0,,,,,,,,,0.038,68.3,2.15,0.059
363.0,,,,,,,,,0.037,67.0,2.16,0.054
366.0,,,,,,,,,0.036,66.0,2.16,0.051
369.0,,,,,,,,,0.036,65.4,2.17,0.054
372.0,,,,,,,,,0.035,64.1,2.19,0.058
375.0,,,,,,,,,0.034,64.6,2.25,0.062
378.0,,,,,,,,,0.033,62.0,2.28,0.064
381.0,,,,,,,,,0.033,64.7,2.34,0.072
384.0,,,,,,,,,0.032,64.4,2.4,0.076
387.0,,,,,,,,,0.031,62.4,2.39,0.082
390.0,,,,,,,,,0.031,61.1,2.42,0.091
393.0,,,,,,,,,0.03,58.9,2.46,0.094
396.0,,,,,,,,,0.029,55.4,2.41,0.104
399.0,,,,,,,,,0.029,55.1,2.39,0.108
402.0,,,,,,,,,0.028,53.2,2.41,0.094
405.0,,,,,,,,,0.027,51.9,2.42,0.094
408.0,,,,,,,,,0.027,51.5,2.45,0.096
411.0,,,,,,,,,0.026,51.5,2.5,0.099
414.0,,,,,,,,,0.025,52.3,2.54,0.108
417.0,,,,,,,,,0.024,48.8,2.62,0.122
420.0,,,,,,,,,0.024,46.4,2.59,0.134
423.0,,,,,,,,,0.023,43.1,2.56,0.155
426.0,,,,,,,,,0.023,43.2,2.59,0.177
429.0,,,,,,,,,0.022,42.1,2.61,0.195
432.0,,,,,,,,,0.021,41.0,2.69,0.206
435.0,,,,,,,,,0.02,40.0,2.8,0.214
438.0,,,,,,,,,0.019,38.3,2.97,0.228
441.0,,,,,,,,,0.018,36.1,2.97,0.236
444.0,,,,,,,,,0.017,36.8,3.03,0.246
447.0,,,,,,,,,0.016,34.9,3.14,0.282
450.0,,,,,,,,,0.015,32.8,3.39,0.336
453.0,,,,,,,,,0.014,28.9,3.34,0.344
