Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.4,0.0,0.0
3.0,,,,,,,,,0.0,0.2,0.0,0.0
6.0,,,,,,,,,0.0,0.7,0.0,0.0
9.0,,,,,,,,,0.0,-0.5,0.0,0.0
12.0,,,,,,,,,0.0,0.5,0.0,0.0
15.0,,,,,,,,,0.0,0.5,0.0,0.0
18.0,,,,,,,,,0.0,-0.5,0.0,0.0
21.0,,,,,,,,,0.083,2.8,0.16,0.003
24.0,,,,,,,,,0.081,15.0,0.28,0.003
27.0,,,,,,,,,0.079,88.1,1.07,0.017
30.0,,,,,,,,,0.078,222.9,2.46,0.044
33.0,,,,,,,,,0.076,334.4,3.41,0.056
36.0,,,,,,,,,0.075,358.7,3.54,0.048
39.0,,,,,,,,,0.074,317.5,3.23,0.038
42.0,,,,,,,,,0.073,270.9,2.94,0.033
45.0,,,,,,,,,0.072,236.0,2.72,0.029
48.0,,,,,,,,,0.071,216.4,2.65,0.029
51.0,,,,,,,,,0.071,207.7,2.59,0.029
54.0,,,,,,,,,0.07,200.8,2.55,0.028
57.0,,,,,,,,,0.07,193.1,2.47,0.027
60.0,,,,,,,,,0.069,185.8,2.42,0.029
63.0,,,,,,,,,0.069,182.6,2.4,0.03
66.0,,,,,,,,,0.067,182.2,2.41,0.029
69.0,,,,,,,,,0.067,178.9,2.38,0.028
72.0,,,,,,,,,0.066,174.4,2.35,0.028
75.0,,,,,,,,,0.066,165.7,2.27,0.024
78.0,,,,,,,,,0.065,158.7,2.19,0.022
81.0,,,,,,,,,0.064,150.1,2.13,0.023
84.0,,,,,,,,,0.064,141.0,2.03,0.019
87.0,,,,,,,,,0.063,133.5,1.98,0.019
90.0,,,,,,,,,0.061,127.1,1.98,0.019
93.0,,,,,,,,,0.06,121.3,1.96,0.019
96.0,,,,,,,,,0.058,116.4,1.94,0.019
99.0,,,,,,,,,0.057,112.3,1.96,0.02
102.0,,,,,,,,,0.056,107.6,1.97,0.021
105.0,,,,,,,,,0.055,104.4,1.96,0.022
108.0,,,,,,,,,0.054,103.1,2.0,0.024
111.0,,,,,,,,,0.053,101.3,2.03,0.024
114.0,,,,,,,,,0.051,98.6,2.07,0.023
117.0,,,,,,,,,0.05,99.2,2.14,0.026
120.0,,,,,,,,,0.049,98.0,2.15,0.027
123.0,,,,,,,,,0.048,92.1,2.11,0.029
126.0,,,,,,,,,0.047,87.4,2.08,0.031
129.0,,,,,,,,,0.046,87.1,2.07,0.032
132.0,,,,,,,,,0.045,84.1,2.07,0.032
135.0,,,,,,,,,0.045,81.6,2.03,0.032
138.0,,,,,,,,,0.044,78.9,2.0,0.035
141.0,,,,,,,,,0.044,76.3,1.95,0.034
144.0,,,,,,,,,0.044,77.5,1.94,0.034
147.0,,,,,,,,,0.043,79.2,1.99,0.033
150.0,,,,,,,,,0.043,78.6,1.97,0.035
153.0,,,,,,,,,0.042,75.8,1.96,0.037
156.0,,,,,,,,,0.042,76.8,1.98,0.037
159.0,,,,,,,,,0.041,76.9,1.99,0.039
162.0,,,,,,,,,0.041,76.5,2.0,0.04
165.0,,,,,,,,,0.04,77.0,2.01,0.04
168.0,,,,,,,,,0.04,74.8,2.01,0.039
171.0,,,,,,,,,0.04,71.4,2.0,0.038
174.0,,,,,,,,,0.04,73.6,2.03,0.037
177.0,,,,,,,,,0.04,72.8,2.03,0.04
180.0,,,,,,,,,0.04,74.4,2.06,0.035
183.0,,,,,,,,,0.039,74.5,2.06,0.034
186.0,,,,,,,,,0.039,73.4,2.09,0.034
189.0,,,,,,,,,0.038,73.9,2.12,0.029
192.0,,,,,,,,,0.038,76.9,2.21,0.025
195.0,,,,,,,,,0.038,75.9,2.17,0.023
198.0,,,,,,,,,0.038,76.7,2.18,0.021
201.0,,,,,,,,,0.038,76.7,2.19,0.015
204.0,,,,,,,,,0.037,74.6,2.14,0.012
207.0,,,,,,,,,0.037,73.4,2.14,0.009
210.0,,,,,,,,,0.037,74.0,2.1,0.007
213.0,,,,,,,,,0.037,70.5,2.03,0.008
216.0,,,,,,,,,0.037,69.0,1.97,0.006
219.0,,,,,,,,,0.037,68.2,1.97,0.0
222.0,,,,,,,,,0.037,68.7,1.99,0.0
225.0,,,,,,,,,0.037,70.7,2.04,0.008
228.0,,,,,,,,,0.037,73.1,2.04,0.008
231.0,,,,,,,,,0.036,75.1,2.12,0.009
234.0,,,,,,,,,0.036,78.0,2.26,0.009
237.0,,,,,,,,,0.036,75.2,2.2,0.011
240.0,,,,,,,,,0.035,72.1,2.19,0.016
243.0,,,,,,,,,0.035,73.8,2.31,0.017
246.0,,,,,,,,,0.034,78.6,2.47,0.021
249.0,,,,,,,,,0.034,78.0,2.48,0.024
252.0,,,,,,,,,0.033,76.5,2.45,0.025
255.0,,,,,,,,,0.033,74.7,2.45,0.027
258.0,,,,,,,,,0.033,78.2,2.56,0.028
261.0,,,,,,,,,0.032,77.7,2.61,0.03
264.0,,,,,,,,,0.032,77.1,2.59,0.028
267.0,,,,,,,,,0.032,76.4,2.58,0.025
270.0,,,,,,,,,0.031,76.8,2.58,0.027
273.0,,,,,,,,,0.031,79.7,2.61,0.026
276.0,,,,,,,,,0.031,80.4,2.63,0.024
279.0,,,,,,,,,0.031,76.2,2.55,0.024
282.0,,,,,,,,,0.031,77.3,2.55,0.023
285.0,,,,,,,,,0.03,77.6,2.57,0.025
288.0,,,,,,,,,0.03,77.1,2.54,0.023
291.0,,,,,,,,,0.03,75.0,2.47,0.021
294.0,,,,,,,,,0.03,73.2,2.4,0.019
297.0,,,,,,,,,0.031,73.9,2.42,0.024
300.0,,,,,,,,,0.03,79.7,2.53,0.028
303.0,,,,,,,,,0.03,80.0,2.56,0.027
306.0,,,,,,,,,0.03,80.1,2.62,0.027
309.0,,,,,,,,,0.03,81.7,2.67,0.033
