Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.4,0.0,0.0
3.0,,,,,,,,,0.0,0.7,0.0,0.0
6.0,,,,,,,,,0.0,1.0,0.0,0.0
9.0,,,,,,,,,0.0,0.7,0.0,0.0
12.0,,,,,,,,,0.0,-0.5,0.0,0.0
15.0,,,,,,,,,0.0,1.4,0.0,0.0
18.0,,,,,,,,,0.0,1.0,0.0,0.0
21.0,,,,,,,,,0.0,0.7,0.0,0.0
24.0,,,,,,,,,0.0,-0.5,0.0,0.0
27.0,,,,,,,,,0.093,1.2,0.19,0.008
30.0,,,,,,,,,0.089,1.4,0.2,0.014
33.0,,,,,,,,,0.085,4.8,0.23,0.028
36.0,,,,,,,,,0.083,5.3,0.25,0.053
39.0,,,,,,,,,0.081,10.1,0.3,0.073
42.0,,,,,,,,,0.08,63.7,1.21,0.043
45.0,,,,,,,,,0.078,184.9,2.71,0.015
48.0,,,,,,,,,0.077,286.6,3.72,0.011
51.0,,,,,,,,,0.075,334.9,4.29,0.013
54.0,,,,,,,,,0.074,341.3,4.39,0.018
57.0,,,,,,,,,0.073,315.4,4.17,0.026
60.0,,,,,,,,,0.072,274.1,3.77,0.031
63.0,,,,,,,,,0.071,237.6,3.4,0.036
66.0,,,,,,,,,0.07,210.1,3.12,0.038
69.0,,,,,,,,,0.068,189.5,2.86,0.036
72.0,,,,,,,,,0.068,174.3,2.67,0.034
75.0,,,,,,,,,0.067,162.1,2.49,0.03
78.0,,,,,,,,,0.067,147.6,2.31,0.025
81.0,,,,,,,,,0.066,138.4,2.19,0.021
84.0,,,,,,,,,0.066,126.7,2.07,0.018
87.0,,,,,,,,,0.065,120.1,1.99,0.015
90.0,,,,,,,,,0.064,113.7,1.9,0.012
93.0,,,,,,,,,0.061,106.5,1.9,0.015
96.0,,,,,,,,,0.059,101.9,1.86,0.018
99.0,,,,,,,,,0.058,97.0,1.85,0.017
102.0,,,,,,,,,0.056,96.5,1.86,0.019
105.0,,,,,,,,,0.055,97.5,1.88,0.016
108.0,,,,,,,,,0.054,97.7,1.91,0.012
111.0,,,,,,,,,0.052,95.9,1.92,0.014
114.0,,,,,,,,,0.052,94.8,1.91,0.019
117.0,,,,,,,,,0.052,96.0,1.91,0.02
120.0,,,,,,,,,0.051,98.9,1.95,0.019
123.0,,,,,,,,,0.051,100.1,1.96,0.018
126.0,,,,,,,,,0.05,100.2,1.97,0.02
129.0,,,,,,,,,0.049,94.9,1.96,0.029
132.0,,,,,,,,,0.049,91.3,1.92,0.039
135.0,,,,,,,,,0.049,89.0,1.9,0.05
138.0,,,,,,,,,0.048,84.7,1.88,0.053
141.0,,,,,,,,,0.047,82.0,1.87,0.061
144.0,,,,,,,,,0.047,77.3,1.86,0.069
147.0,,,,,,,,,0.047,75.0,1.84,0.072
150.0,,,,,,,,,0.047,71.7,1.81,0.075
153.0,,,,,,,,,0.046,67.9,1.77,0.077
156.0,,,,,,,,,0.045,66.4,1.77,0.081
159.0,,,,,,,,,0.045,64.1,1.75,0.08
162.0,,,,,,,,,0.045,62.2,1.7,0.082
165.0,,,,,,,,,0.045,59.6,1.67,0.081
168.0,,,,,,,,,0.045,57.7,1.64,0.08
171.0,,,,,,,,,0.045,57.6,1.61,0.082
174.0,,,,,,,,,0.045,57.0,1.58,0.079
177.0,,,,,,,,,0.045,54.5,1.53,0.075
180.0,,,,,,,,,0.046,54.3,1.49,0.077
183.0,,,,,,,,,0.046,53.2,1.42,0.073
186.0,,,,,,,,,0.047,50.1,1.34,0.07
189.0,,,,,,,,,0.047,47.6,1.3,0.072
192.0,,,,,,,,,0.048,48.4,1.29,0.073
195.0,,,,,,,,,0.049,49.5,1.24,0.073
198.0,,,,,,,,,0.05,48.9,1.19,0.069
201.0,,,,,,,,,0.051,47.8,1.14,0.07
204.0,,,,,,,,,0.052,50.1,1.14,0.07
207.0,,,,,,,,,0.053,51.4,1.13,0.068
210.0,,,,,,,,,0.054,50.9,1.11,0.07
213.0,,,,,,,,,0.055,53.2,1.12,0.07
216.0,,,,,,,,,0.056,53.4,1.12,0.069
219.0,,,,,,,,,0.058,55.7,1.13,0.067
222.0,,,,,,,,,0.059,57.1,1.12,0.064
225.0,,,,,,,,,0.06,58.8,1.12,0.069
228.0,,,,,,,,,0.06,61.9,1.2,0.07
231.0,,,,,,,,,0.062,68.4,1.26,0.063
234.0,,,,,,,,,0.063,71.6,1.29,0.055
237.0,,,,,,,,,0.063,76.9,1.36,0.05
240.0,,,,,,,,,0.064,83.9,1.43,0.041
243.0,,,,,,,,,0.065,87.1,1.48,0.035
246.0,,,,,,,,,0.065,90.5,1.5,0.03
249.0,,,,,,,,,0.066,93.2,1.53,0.028
252.0,,,,,,,,,0.066,97.4,1.58,0.024
255.0,,,,,,,,,0.066,100.6,1.63,0.02
258.0,,,,,,,,,0.067,104.7,1.65,0.022
261.0,,,,,,,,,0.067,106.8,1.67,0.025
264.0,,,,,,,,,0.067,109.1,1.71,0.024
267.0,,,,,,,,,0.066,109.4,1.72,0.022
270.0,,,,,,,,,0.066,109.8,1.74,0.02
273.0,,,,,,,,,0.066,111.1,1.75,0.019
276.0,,,,,,,,,0.066,109.0,1.75,0.018
279.0,,,,,,,,,0.065,110.5,1.81,0.023
282.0,,,,,,,,,0.064,114.2,1.86,0.024
285.0,,,,,,,,,0.064,115.6,1.88,0.023
288.0,,,,,,,,,0.063,114.6,1.89,0.024
291.0,,,,,,,,,0.063,115.1,1.91,0.023
294.0,,,,,,,,,0.061,114.8,1.94,0.027
297.0,,,,,,,,,0.061,114.1,1.96,0.029
300.0,,,,,,,,,0.06,116.8,1.99,0.028
303.0,,,,,,,,,0.059,116.3,2.02,0.025
306.0,,,,,,,,,0.058,118.5,2.05,0.025
309.0,,,,,,,,,0.058,120.1,2.07,0.025
312.0,,,,,,,,,0.057,121.5,2.09,0.022
315.0,,,,,,,,,0.055,121.7,2.15,0.022
318.0,,,,,,,,,0.055,120.0,2.14,0.023
321.0,,,,,,,,,0.054,121.9,2.16,0.022
324.0,,,,,,,,,0.053,121.0,2.18,0.023
327.0,,,,,,,,,0.053,123.6,2.21,0.025
330.0,,,,,,,,,0.052,124.1,2.25,0.021
333.0,,,,,,,,,0.051,126.0,2.31,0.022
336.0,,,,,,,,,0.049,127.6,2.39,0.027
339.0,,,,,,,,,0.048,126.8,2.41,0.023
342.0,,,,,,,,,0.047,126.0,2.46,0.022
345.0,,,,,,,,,0.047,124.8,2.53,0.022
348.0,,,,,,,,,0.045,126.0,2.59,0.02
351.0,,,,,,,,,0.044,128.9,2.69,0.025
354.0,,,,,,,,,0.044,133.0,2.81,0.025
357.0,,,,,,,,,0.043,130.4,2.82,0.026
360.0,,,,,,,,,0.042,128.4,2.81,0.025
363.0,,,,,,,,,0.041,125.4,2.83,0.023
366.0,,,,,,,,,0.04,122.6,2.85,0.023
369.0,,,,,,,,,0.039,119.5,2.88,0.02
372.0,,,,,,,,,0.038,116.4,2.86,0.019
375.0,,,,,,,,,0.037,114.3,2.85,0.018
378.0,,,,,,,,,0.037,111.5,2.82,0.016
