Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.7,0.0,0.0
3.0,,,,,,,,,0.147,1.2,0.08,0.003
6.0,,,,,,,,,0.146,0.7,0.09,0.003
9.0,,,,,,,,,0.147,1.6,0.09,0.0
12.0,,,,,,,,,0.148,1.2,0.08,0.002
15.0,,,,,,,,,0.148,1.2,0.09,0.0
18.0,,,,,,,,,0.147,2.2,0.08,0.002
21.0,,,,,,,,,0.147,21.1,0.17,0.005
24.0,,,,,,,,,0.146,105.7,0.69,0.015
27.0,,,,,,,,,0.146,236.6,1.37,0.033
30.0,,,,,,,,,0.145,332.5,1.75,0.042
33.0,,,,,,,,,0.145,359.1,1.84,0.042
36.0,,,,,,,,,0.144,350.5,1.83,0.042
39.0,,,,,,,,,0.144,348.0,1.87,0.042
42.0,,,,,,,,,0.145,338.3,1.83,0.038
45.0,,,,,,,,,0.144,349.5,1.89,0.043
48.0,,,,,,,,,0.144,378.5,2.1,0.054
51.0,,,,,,,,,0.145,376.4,2.0,0.051
54.0,,,,,,,,,0.145,365.0,1.93,0.049
57.0,,,,,,,,,0.146,364.8,1.96,0.05
60.0,,,,,,,,,0.145,369.5,1.96,0.047
63.0,,,,,,,,,0.146,362.3,1.91,0.044
66.0,,,,,,,,,0.146,354.2,1.86,0.04
69.0,,,,,,,,,0.145,374.1,1.99,0.04
72.0,,,,,,,,,0.144,398.3,2.15,0.042
75.0,,,,,,,,,0.144,399.5,2.1,0.038
78.0,,,,,,,,,0.143,392.4,2.11,0.036
81.0,,,,,,,,,0.142,408.1,2.2,0.037
84.0,,,,,,,,,0.141,450.9,2.46,0.043
87.0,,,,,,,,,0.14,479.0,2.62,0.044
90.0,,,,,,,,,0.139,462.0,2.46,0.041
93.0,,,,,,,,,0.137,426.0,2.36,0.038
96.0,,,,,,,,,0.135,400.2,2.27,0.04
99.0,,,,,,,,,0.133,387.7,2.26,0.043
102.0,,,,,,,,,0.131,385.1,2.27,0.045
105.0,,,,,,,,,0.127,418.2,2.49,0.048
108.0,,,,,,,,,0.123,450.6,2.77,0.055
111.0,,,,,,,,,0.12,452.8,2.73,0.058
114.0,,,,,,,,,0.116,452.2,2.82,0.064
117.0,,,,,,,,,0.112,454.2,2.97,0.061
120.0,,,,,,,,,0.108,428.3,2.84,0.057
123.0,,,,,,,,,0.103,431.6,3.05,0.065
126.0,,,,,,,,,0.099,443.1,3.28,0.067
129.0,,,,,,,,,0.094,419.6,3.18,0.069
132.0,,,,,,,,,0.089,445.0,3.59,0.077
135.0,,,,,,,,,0.085,493.0,4.17,0.09
138.0,,,,,,,,,0.08,478.3,4.15,0.091
141.0,,,,,,,,,0.075,432.8,4.03,0.093
144.0,,,,,,,,,0.07,428.1,4.33,0.103
147.0,,,,,,,,,0.064,432.8,4.8,0.112
150.0,,,,,,,,,0.059,424.7,5.08,0.116
153.0,,,,,,,,,0.055,387.1,5.06,0.103
156.0,,,,,,,,,0.049,332.7,5.07,0.091
159.0,,,,,,,,,0.044,264.6,4.75,0.072
162.0,,,,,,,,,0.039,206.7,4.44,0.057
165.0,,,,,,,,,0.035,163.3,4.26,0.054
168.0,,,,,,,,,0.031,129.5,4.1,0.054
171.0,,,,,,,,,0.027,113.3,4.29,0.057
174.0,,,,,,,,,0.023,101.8,4.41,0.064
177.0,,,,,,,,,0.02,95.1,4.71,0.075
180.0,,,,,,,,,0.017,91.9,5.29,0.094
183.0,,,,,,,,,0.014,89.2,6.05,0.104
186.0,,,,,,,,,0.013,81.8,6.49,0.102
189.0,,,,,,,,,0.01,75.8,7.22,0.104
192.0,,,,,,,,,0.009,70.2,7.9,0.106
195.0,,,,,,,,,0.007,60.9,8.75,0.096
198.0,,,,,,,,,0.006,52.7,9.23,0.084
201.0,,,,,,,,,0.005,47.7,10.02,0.056
204.0,,,,,,,,,0.004,43.8,0.0,0.0
207.0,,,,,,,,,0.004,39.7,0.0,0.0
210.0,,,,,,,,,0.004,35.7,0.0,0.0
213.0,,,,,,,,,0.004,31.2,0.0,0.0
216.0,,,,,,,,,0.003,28.8,0.0,0.0
219.0,,,,,,,,,0.003,27.3,0.0,0.0
222.0,,,,,,,,,0.003,24.0,0.0,0.0
225.0,,,,,,,,,0.004,22.0,0.0,0.0
228.0,,,,,,,,,0.003,21.3,0.0,0.0
231.0,,,,,,,,,0.003,19.9,0.0,0.0
234.0,,,,,,,,,0.003,19.3,0.0,0.0
237.0,,,,,,,,,0.003,17.2,0.0,0.0
240.0,,,,,,,,,0.003,15.3,0.0,0.0
243.0,,,,,,,,,0.003,14.1,0.0,0.0
246.0,,,,,,,,,0.003,14.5,0.0,0.0
249.0,,,,,,,,,0.003,12.7,0.0,0.0
252.0,,,,,,,,,0.003,11.9,0.0,0.0
255.0,,,,,,,,,0.003,11.3,0.0,0.0
258.0,,,,,,,,,0.003,9.0,0.0,0.0
261.0,,,,,,,,,0.003,7.8,0.0,0.0
264.0,,,,,,,,,0.003,8.1,0.0,0.0
267.0,,,,,,,,,0.003,7.5,0.0,0.0
270.0,,,,,,,,,0.003,8.3,0.0,0.0
273.0,,,,,,,,,0.004,8.4,0.0,0.0
276.0,,,,,,,,,0.003,6.4,0.0,0.0
279.0,,,,,,,,,0.003,5.8,0.0,0.0
282.0,,,,,,,,,0.003,5.2,0.0,0.0
285.0,,,,,,,,,0.003,5.4,0.0,0.0
288.0,,,,,,,,,0.003,5.0,0.0,0.0
291.0,,,,,,,,,0.003,5.2,0.0,0.0
294.0,,,,,,,,,0.003,3.0,0.0,0.0
