Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.9,0.0,0.0
3.0,,,,,,,,,0.0,-0.7,0.0,0.0
6.0,,,,,,,,,0.0,0.0,0.0,0.0
9.0,,,,,,,,,0.0,0.0,0.0,0.0
12.0,,,,,,,,,0.0,-0.9,0.0,0.0
15.0,,,,,,,,,0.0,0.0,0.0,0.0
18.0,,,,,,,,,0.0,0.9,0.0,0.0
21.0,,,,,,,,,0.0,1.4,0.0,0.0
24.0,,,,,,,,,0.0,-0.2,0.0,0.0
27.0,,,,,,,,,0.0,0.7,0.0,0.0
30.0,,,,,,,,,0.0,-0.2,0.0,0.0
33.0,,,,,,,,,0.0,-0.2,0.0,0.0
36.0,,,,,,,,,0.099,1.7,0.16,0.011
39.0,,,,,,,,,0.096,7.9,0.22,0.033
42.0,,,,,,,,,0.093,57.7,0.89,0.015
45.0,,,,,,,,,0.091,136.4,1.83,0.003
48.0,,,,,,,,,0.091,194.7,2.43,0.0
51.0,,,,,,,,,0.089,237.5,2.93,0.003
54.0,,,,,,,,,0.088,260.1,3.23,0.006
57.0,,,,,,,,,0.087,257.8,3.17,0.01
60.0,,,,,,,,,0.086,237.6,2.95,0.013
63.0,,,,,,,,,0.085,213.8,2.73,0.018
66.0,,,,,,,,,0.084,191.9,2.51,0.02
69.0,,,,,,,,,0.084,174.5,2.29,0.022
72.0,,,,,,,,,0.083,165.7,2.15,0.022
75.0,,,,,,,,,0.082,165.1,2.09,0.023
78.0,,,,,,,,,0.081,169.6,2.11,0.022
81.0,,,,,,,,,0.081,174.2,2.13,0.021
84.0,,,,,,,,,0.08,174.9,2.11,0.018
87.0,,,,,,,,,0.08,170.4,2.04,0.016
90.0,,,,,,,,,0.079,162.4,1.94,0.014
93.0,,,,,,,,,0.079,151.0,1.86,0.012
96.0,,,,,,,,,0.079,141.2,1.78,0.009
99.0,,,,,,,,,0.078,131.0,1.67,0.008
102.0,,,,,,,,,0.077,119.2,1.59,0.008
105.0,,,,,,,,,0.075,110.0,1.53,0.013
108.0,,,,,,,,,0.074,106.5,1.51,0.016
111.0,,,,,,,,,0.072,100.4,1.48,0.024
114.0,,,,,,,,,0.071,95.0,1.45,0.032
117.0,,,,,,,,,0.07,90.2,1.42,0.041
120.0,,,,,,,,,0.069,85.8,1.39,0.046
123.0,,,,,,,,,0.068,81.0,1.36,0.051
126.0,,,,,,,,,0.068,78.7,1.33,0.054
129.0,,,,,,,,,0.067,77.7,1.34,0.053
132.0,,,,,,,,,0.067,78.7,1.37,0.053
