Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.2,0.0,0.0
3.0,,,,,,,,,0.0,-0.7,0.0,0.0
6.0,,,,,,,,,0.0,0.0,0.0,0.0
9.0,,,,,,,,,0.0,-0.7,0.0,0.0
12.0,,,,,,,,,0.131,0.5,0.1,0.0
15.0,,,,,,,,,0.131,2.6,0.11,0.002
18.0,,,,,,,,,0.131,3.5,0.1,0.002
21.0,,,,,,,,,0.13,5.1,0.1,0.004
24.0,,,,,,,,,0.129,4.2,0.11,0.003
27.0,,,,,,,,,0.131,4.3,0.1,0.003
30.0,,,,,,,,,0.132,26.9,0.15,0.009
33.0,,,,,,,,,0.132,120.2,0.48,0.042
36.0,,,,,,,,,0.132,247.0,0.94,0.08
39.0,,,,,,,,,0.132,317.6,1.35,0.097
42.0,,,,,,,,,0.133,333.8,1.39,0.094
45.0,,,,,,,,,0.134,335.8,1.51,0.093
48.0,,,,,,,,,0.134,331.0,1.57,0.094
51.0,,,,,,,,,0.133,320.2,1.58,0.088
54.0,,,,,,,,,0.134,316.2,1.6,0.087
57.0,,,,,,,,,0.134,323.3,1.65,0.088
60.0,,,,,,,,,0.134,331.6,1.72,0.09
63.0,,,,,,,,,0.134,345.4,1.81,0.088
66.0,,,,,,,,,0.133,326.4,1.79,0.076
69.0,,,,,,,,,0.133,292.4,1.72,0.06
72.0,,,,,,,,,0.133,285.8,1.72,0.064
75.0,,,,,,,,,0.134,282.5,1.69,0.052
78.0,,,,,,,,,0.133,267.1,1.62,0.044
81.0,,,,,,,,,0.133,263.6,1.59,0.045
84.0,,,,,,,,,0.133,280.0,1.64,0.048
87.0,,,,,,,,,0.133,302.8,1.71,0.049
90.0,,,,,,,,,0.133,322.0,1.76,0.048
93.0,,,,,,,,,0.134,338.0,1.82,0.05
96.0,,,,,,,,,0.134,367.1,1.93,0.053
99.0,,,,,,,,,0.134,383.7,2.01,0.055
102.0,,,,,,,,,0.134,379.1,2.01,0.056
105.0,,,,,,,,,0.133,391.9,2.11,0.058
108.0,,,,,,,,,0.132,388.9,2.13,0.054
111.0,,,,,,,,,0.13,372.4,2.08,0.053
114.0,,,,,,,,,0.13,382.2,2.13,0.055
117.0,,,,,,,,,0.13,408.3,2.23,0.059
120.0,,,,,,,,,0.129,426.0,2.33,0.061
123.0,,,,,,,,,0.129,425.9,2.35,0.06
126.0,,,,,,,,,0.128,415.8,2.33,0.054
129.0,,,,,,,,,0.127,406.8,2.32,0.052
132.0,,,,,,,,,0.126,402.1,2.32,0.053
135.0,,,,,,,,,0.125,404.8,2.35,0.052
138.0,,,,,,,,,0.123,402.2,2.37,0.048
141.0,,,,,,,,,0.121,393.3,2.36,0.05
144.0,,,,,,,,,0.119,394.5,2.38,0.054
147.0,,,,,,,,,0.117,407.9,2.48,0.058
150.0,,,,,,,,,0.115,407.1,2.51,0.062
153.0,,,,,,,,,0.113,402.5,2.55,0.063
156.0,,,,,,,,,0.11,399.4,2.58,0.064
159.0,,,,,,,,,0.107,393.1,2.61,0.064
162.0,,,,,,,,,0.104,403.1,2.72,0.071
165.0,,,,,,,,,0.101,415.2,2.87,0.072
168.0,,,,,,,,,0.098,404.9,2.93,0.07
171.0,,,,,,,,,0.094,389.6,2.96,0.068
174.0,,,,,,,,,0.09,389.6,3.1,0.069
177.0,,,,,,,,,0.086,380.7,3.18,0.069
