Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,64.75119,-0.0115416099882634,0.0273806487511535,323.708,0.2095328045,0.0004577190999999,2.6628999999999995e-06,0.0002280496509821
1.0,64.665422,0.0003662191017149,0.0270332512727487,323.824,0.2095143512,0.000431439,2.0031e-06,0.0003508431612407
2.0,64.73041,0.0196202921037174,0.0272847638750785,323.855,0.2094787427,0.0004172475,1.1830000000000001e-07,0.0003420674647449
3.0,64.750321,0.0331482172923341,0.0269142739230262,323.893,0.2094512153,0.0004140785,-7.883e-07,0.0002894417009283
4.0,64.749955,0.0190973297996946,0.0271100313853658,324.021,0.209479402,0.0004197055,-9.218e-07,0.0002105021080567
5.0,64.7503,-0.0023275494181886,0.0275881962361415,324.2,0.209516689,0.0004480365,9.252e-07,0.0001140231722991
6.0,64.750297,-0.0034541141461948,0.0280145545643956,324.309,0.2095190617,0.0004439179,2.8211000000000004e-06,0.0002192727003561
7.0,64.750801,0.0038723735851708,0.0277120213051168,324.363,0.209507343,0.0004320095999999,1.6325e-06,0.0001754145647018
8.0,64.749864,0.027695344595385,0.0269907031488751,324.489,0.209459315,0.0004290468,-2.268e-07,0.0002192694116967
9.0,64.749824,0.0461918070517727,0.0274121844252032,324.601,0.2094208547,0.0004392058,-1.1533e-06,0.0002368093071885
10.0,64.750611,0.0315474386252624,0.0277280758357122,324.688,0.209447644,0.0004561235,-8.391e-07,0.0003332836741064
11.0,64.712378,0.0093872771427848,0.0268986696679265,324.768,0.209482947,0.0004932007,1.4459e-06,0.0003157490578381
12.0,64.741237,0.002437928915068,0.0270356595438429,324.837,0.2094961875,0.0004962977,2.8957e-06,0.0001578773703367
13.0,64.751032,0.0162850147811255,0.027974753351559,324.835,0.2094703879,0.0004896984,2.3978e-06,0.0001929645104494
14.0,64.69952,0.0463571996108793,0.0276697672688103,324.882,0.2094138328,0.0004738197,-2.563e-07,0.000298219967145
