Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr), K Smoke (1/m)
0,64.75119,-0.01154161,0.027380649,323.708,0.209532805,0.000457719,2.66E-06,0.00022805
1,64.665422,0.000366219,0.027033251,323.824,0.209514351,0.000431439,2.00E-06,0.000350843
2,64.73041,0.019620292,0.027284764,323.855,0.209478743,0.000417248,1.18E-07,0.000342067
3,64.750321,0.033148217,0.026914274,323.893,0.209451215,0.000414079,-7.88E-07,0.000289442
4,64.749955,0.01909733,0.027110031,324.021,0.209479402,0.000419706,-9.22E-07,0.000210502
5,64.7503,-0.002327549,0.027588196,324.2,0.209516689,0.000448037,9.25E-07,0.000114023
6,64.750297,-0.003454114,0.028014555,324.309,0.209519062,0.000443918,2.82E-06,0.000219273
7,64.750801,0.003872374,0.027712021,324.363,0.209507343,0.00043201,1.63E-06,0.000175415
8,64.749864,0.027695345,0.026990703,324.489,0.209459315,0.000429047,-2.27E-07,0.000219269
9,64.749824,0.046191807,0.027412184,324.601,0.209420855,0.000439206,-1.15E-06,0.000236809
10,64.750611,0.031547439,0.027728076,324.688,0.209447644,0.000456124,-8.39E-07,0.000333284
11,64.712378,0.009387277,0.02689867,324.768,0.209482947,0.000493201,1.45E-06,0.000315749
12,64.741237,0.002437929,0.02703566,324.837,0.209496188,0.000496298,2.90E-06,0.000157877
13,64.751032,0.016285015,0.027974753,324.835,0.209470388,0.000489698,2.40E-06,0.000192965
14,64.69952,0.0463572,0.027669767,324.882,0.209413833,0.00047382,-2.56E-07,0.00029822
15,64.738932,0.058631746,0.026544487,324.977,0.209385089,0.000470899,-1.17E-06,0.000175423
16,64.751032,0.043093117,0.027252583,325.042,0.209416385,0.000487017,-4.92E-07,5.26E-05
17,64.702958,0.02689416,0.027639185,325.112,0.209448304,0.000493266,1.23E-06,0.000114019
18,64.738965,0.016915119,0.027306151,325.208,0.209472419,0.000469716,2.63E-06,0.000157874
19,64.751059,0.020779083,0.02745851,325.302,0.209470271,0.000446311,9.50E-07,0.000271893
20,64.73017,0.040386551,0.02686573,325.409,0.20943219,0.000432314,-5.12E-07,0.000245583
21,64.745909,0.044137668,0.027356737,325.49,0.209426657,0.000430396,-1.07E-06,0.000192956
22,64.750928,0.024650664,0.027094621,325.558,0.20946309,0.000442082,-3.36E-07,0.000184183
23,64.740325,0.001764906,0.02741563,325.558,0.209505438,0.000460969,1.71E-06,0.000131562
24,64.749056,-0.003149485,0.027454425,325.578,0.209514331,0.000464533,2.62E-06,0.000140332
25,64.751184,0.006720999,0.027542692,325.666,0.209488287,0.00049626,1.03E-06,4.39E-05
26,64.751059,0.029289597,0.027082475,325.693,0.209416513,0.000619445,-7.36E-07,3.51E-05
27,64.666665,0.045089694,0.027017615,325.7,0.209329154,0.000881223,-1.17E-06,5.26E-05
28,64.646222,0.076482293,0.027066714,325.775,0.209172817,0.001318376,1.34E-07,0.000166648
29,64.646354,0.157797569,0.027144239,325.953,0.208892381,0.001844426,1.23E-05,0.000166648
30,64.646354,0.281428387,0.026832805,326.376,0.208501206,0.002433295,3.57E-05,0.000149103
31,64.645613,0.49887222,0.02646527,327.076,0.207852531,0.003260185,6.70E-05,9.65E-05
32,64.646592,0.798412463,0.026304162,328.145,0.206975752,0.004314607,0.000114787,5.26E-05
33,64.568525,1.213604019,0.025640446,329.568,0.205779181,0.005427011,0.000167945,2.63E-05
34,64.467507,1.723042591,0.025321554,331.274,0.204375699,0.006519094,0.000222577,5.26E-05
35,64.446637,2.331548365,0.024064143,333.422,0.202502572,0.007657885,0.000277584,-1.75E-05
36,64.287115,2.985811431,0.023761026,336.015,0.200655544,0.00865812,0.000332175,0.000166644
37,64.088369,3.608001918,0.023556599,338.838,0.198897615,0.009548344,0.000382507,8.77E-05
38,63.728456,4.238224188,0.023839101,342.015,0.197310219,0.010381479,0.000430761,0.000140332
39,63.410488,4.674866384,0.023717371,345.353,0.196052493,0.011075351,0.00047016,0.000271899
40,63.431626,4.847422187,0.022511247,348.346,0.194866309,0.011716186,0.000506685,0.000140336
41,63.371528,5.297056652,0.022854503,351.286,0.19380979,0.012214691,0.000539298,0.000114022
42,63.190255,5.480972189,0.022375696,354.522,0.192957082,0.012632819,0.000566649,1.75E-05
43,62.907261,5.785004806,0.02261112,357.833,0.192245849,0.013003998,0.000589722,-2.63E-05
44,62.455108,5.952588439,0.022461913,360.906,0.19163938,0.013347538,0.000613988,-5.26E-05
45,62.273093,6.283740875,0.0230553,363.529,0.191126369,0.013690295,0.000638506,8.77E-06
46,62.251837,6.538213891,0.023412455,366.11,0.190662067,0.014030634,0.000662279,8.77E-05
47,62.174344,6.577368554,0.022960279,368.971,0.190173073,0.014352427,0.000683715,4.39E-05
48,61.75514,6.699757058,0.02286449,371.453,0.189717279,0.014706328,0.000700014,7.89E-05
49,61.654481,6.64447978,0.022100749,373.88,0.189179639,0.015155386,0.000718345,-2.63E-05
50,61.571329,6.826426203,0.022157709,376.552,0.188649636,0.015619259,0.000736941,-4.39E-05
51,61.232089,6.797847602,0.021573898,379.235,0.188150964,0.016045117,0.000757384,5.26E-05
52,60.752918,6.952194602,0.021589095,382.157,0.187680917,0.01634771,0.000776736,3.51E-05
53,60.577285,7.122545791,0.021600443,385.331,0.187173216,0.016604819,0.000794955,8.77E-05
54,60.475586,7.177616004,0.021276179,388.347,0.186668,0.016883131,0.000810298,0.00015788
55,60.293102,7.100954494,0.020648291,391.097,0.186232206,0.017125774,0.000824768,0.000192963
56,60.01899,7.589942821,0.02169624,393.649,0.185841835,0.017313937,0.000842193,3.51E-05
57,59.793993,7.615158215,0.021440681,396.243,0.185483155,0.017511107,0.000861372,-1.75E-05
58,59.594714,7.774133122,0.021635317,399.078,0.18520075,0.017679382,0.000878571,0.00019297
59,59.477114,7.648327004,0.021055578,401.543,0.184942389,0.01780151,0.00089076,0.000105259
60,59.215861,7.759446513,0.021082012,403.508,0.184638493,0.017889937,0.000899166,0.000114032
61,58.197771,7.857384547,0.021099081,405.596,0.184366101,0.017961128,0.000905668,0.000175432
62,58.117863,7.841105377,0.020924482,407.934,0.184216062,0.01801877,0.000909852,0.000166658
63,58.075209,7.739761764,0.02062479,409.881,0.184186542,0.018003739,0.000912553,8.77E-05
