Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,,
1.0,,
2.0,,
3.0,,
4.0,-0.31856374434389156,-3.89300607521783
5.0,-1.4093571266968326,-2.7366133114985045
6.0,-0.7231210910005026,-2.0648859600054297
7.0,-0.5429239819004525,-2.8576906363857084
8.0,-1.0832814982403218,-2.905059337621157
9.0,-1.5989919683257918,-3.5744673632807444
10.0,-1.7845350050276518,-3.5067060817800515
11.0,-1.6772903720462542,-2.022591036583705
12.0,-0.7193425842131723,-2.2595829679463924
13.0,-0.5889852564102563,-3.0909877202458933
14.0,-0.8777392031171443,-3.5608622560019
15.0,-0.8929270110608345,-4.172417913071955
16.0,-1.0835525138260431,-3.3382278801621266
17.0,-0.7874978758169935,-2.207415796674644
18.0,0.150173428858723,2.8739878303375943
19.0,-0.13431391402714907,-3.5516581957383355
20.0,-0.5839257415786826,-3.693133131469611
21.0,-0.6273678355957767,-3.9336816061340953
22.0,-0.7177830442433382,-3.2777158290331423
23.0,-0.3605897310206134,-2.953417240447932
24.0,0.42113388637506294,3.2113103948249107
25.0,0.22134200603318246,3.4880131662199787
26.0,-0.4056852689793866,-3.475191725734193
27.0,-0.4988747360482652,-3.9150493826695314
28.0,-0.6534241327300152,-3.288359160511956
29.0,-0.06808707893413782,-2.9033866869479485
30.0,0.3424834590246355,3.284359964214886
31.0,-0.20497212166918044,-3.5839613867306923
32.0,-0.7116411764705881,-4.316377098458277
33.0,-0.921578079436903,-4.630687514716404
34.0,-0.9644576546003018,-3.666498843201514
35.0,-0.40677483660130725,-3.023285466950985
36.0,-0.1769530040221217,-3.3242996251556125
37.0,-0.6196407491201606,-3.9925502200262395
38.0,-1.1829652840623428,-4.87325485678357
39.0,-1.8307334338863752,-4.407386057467209
40.0,-1.8678020739064856,-2.882111105234554
41.0,-1.0077959150326796,-2.3200846016965073
42.0,-0.446837443438914,-3.338416871437821
43.0,-0.7581429864253392,-4.247851289710183
44.0,-1.0069134992458522,-4.986825109134339
45.0,-1.4223760306686775,-3.8725137011942645
46.0,-0.9066594896933133,-2.456782204214742
47.0,0.12516427853192558,2.724445782133003
48.0,0.20324243338360987,3.8898170084016415
49.0,-0.34682184514831577,-4.308740166234592
50.0,-0.896844884364002,-4.372783626832629
51.0,-1.4684295500251383,-3.330009553842137
52.0,-1.181941578682755,-2.6748127458862436
53.0,-0.3683834464555052,-3.6620657394709974
54.0,-0.35083328305681244,-4.253311604489151
55.0,-0.6493914906988435,-4.186610597813968
56.0,-1.005228192559075,-3.9663404948811998
57.0,-1.4879531422825538,-2.937234988108536
58.0,-1.0070372926093514,-2.3406266768837165
59.0,-0.3929089994972348,-3.2688574319052375
60.0,-0.6048727501256912,-3.5356392834241857
61.0,-0.9106491075917548,-3.8524616306694046
62.0,-1.2537314856711914,-4.024080093060553
63.0,-1.4754016465560582,-2.867043895950309
64.0,-0.47086083459024647,-2.229932500051183
65.0,0.353190346907994,2.7135987375441317
66.0,0.12696177727501257,3.075191573334123
67.0,-0.2930747486173955,-3.55861647236291
68.0,-0.7804319884364002,-3.028845991173657
69.0,-0.8000208521870287,-1.805934713213341
70.0,0.21348099547511307,2.709172032869246
71.0,0.7875530542986424,3.9362771973398036
72.0,0.5137513826043237,4.266508358872069
73.0,0.1858393288084466,4.15622806330306
74.0,-0.46986828808446446,-3.8698096082515208
75.0,-0.40363503016591246,-3.489405955842375
76.0,0.6642847662141781,4.2694809718951445
77.0,1.1344191176470586,5.142256236061493
78.0,0.8062654725992959,5.1946471334699424
79.0,0.6201199597787832,5.1035020251525784
80.0,0.28745267722473605,4.399980305676353
81.0,0.9472251131221721,4.2526510596009865
82.0,2.0816464932126695,5.338471088878721
83.0,2.167116515837104,5.970773531886676
84.0,1.6734637254901958,5.804913908573807
85.0,1.1893951106083458,5.355900035214524
86.0,0.6778617018602314,4.730727692043785
87.0,1.1483227752639515,4.765703330551089
88.0,1.8511150578179985,5.845514048874661
89.0,1.866888574660633,6.248198987367458
90.0,1.5293283810960283,5.983714255066807
91.0,1.1832591126194065,5.381070199586915
92.0,1.1629055806938158,5.024393915999297
93.0,1.9743137380593265,5.53481696964706
94.0,2.961891515837104,6.831346618889659
95.0,2.7294250502765207,6.729398684910226
