Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,1.203682532838797,2.008319550573031
1.0,0.22701271809366322,1.4221774360094277
2.0,0.17739207031771334,2.4761618086989103
3.0,0.6638727271462564,3.816507327393342
4.0,0.8528175560608101,2.641135194665746
5.0,1.5131743328080869,1.1811852303125066
6.0,1.4870267913645432,1.5675944927636205
7.0,0.11118442529884665,1.3793272270609933
8.0,0.02964121986239328,2.481303918026359
9.0,0.40433767515317315,3.2559104460485866
10.0,0.6035338594373633,1.6703364791264625
11.0,1.7050070835353799,1.5214205276314807
12.0,1.535833665816617,1.772413419114731
13.0,0.2707768197964567,0.2598313431157535
14.0,-0.056980852606756706,-2.594201666292092
15.0,0.16689294482702,3.2491861770194124
16.0,0.3088872551069134,1.2572241694686928
17.0,1.0223037158980368,1.0015562091460297
18.0,0.5044829089134933,0.784976201849407
19.0,-0.22009653455125333,-1.0611536009546951
20.0,-0.0815739445063232,-3.125436625692077
21.0,0.1896794694335632,2.436085730573387
22.0,0.7291706344209367,0.7526944846445298
23.0,1.83346788844214,2.0498835739344035
24.0,1.2083328234715334,1.2531557044301178
25.0,0.52981684068211,1.0165706064438018
26.0,0.6103283304802164,2.754695221315474
27.0,0.6334912762598001,1.5889156733056902
28.0,1.0158896875054333,1.0486507974064425
29.0,1.5224191002256164,2.556300632801298
30.0,0.8921189001941402,1.6928849904903411
31.0,0.3248396364442997,0.5307646426144089
32.0,0.5687277570400934,2.092871213118137
33.0,0.9155617423853665,0.8826358415190296
34.0,1.90550284268119,2.0478130154898664
35.0,2.58160463099127,3.4706087337970826
36.0,2.0451378887398968,2.5938612176829703
37.0,1.8311554502387732,1.267735332183867
38.0,2.5286164269551334,1.8747679828898138
39.0,3.0761952298505335,2.129014409507744
40.0,4.123053325962643,4.0030783580507325
41.0,4.386258173738587,4.979035247599727
42.0,3.9254794754021063,4.535261791440072
43.0,4.378629875947756,4.759092147106375
44.0,5.44708639165757,5.853862601875762
45.0,6.546607120561517,7.869297143946815
46.0,8.82041741772434,11.804957624835616
47.0,10.102185000628396,14.756595873860652
48.0,13.443969433602833,21.029033502290353
49.0,19.951304647262244,30.721488547074575
50.0,28.94917795621465,45.58921304552328
51.0,37.38783639345398,61.16424445431471
52.0,48.321855681376036,81.23407759690075
53.0,58.309917916500204,102.15939683105366
54.0,67.2401565741698,117.4229100749043
55.0,82.48029529995952,132.0792806398104
56.0,99.64192651890386,143.98221195287587
57.0,120.19316676090598,161.34968716791593
58.0,135.06485000755757,169.47222181672348
59.0,151.67002551255504,179.2375696524098
60.0,166.21359061992456,185.32670880936067
61.0,185.13002874245322,191.78654204530386
62.0,203.81058381696627,194.88759345158988
63.0,225.64067034653092,207.13222383130054
64.0,241.33012809402194,215.74483419589032
65.0,252.0377785720774,220.6406663072434
66.0,263.6725290733346,227.34760447411833
67.0,273.6487403945477,234.1747332662773
68.0,283.8605527260846,243.20876152559526
69.0,289.31332940543433,249.4062301648512
70.0,295.6787689727733,255.62832505965994
71.0,292.1232747618803,252.16211050442615
72.0,293.00323871778426,251.05487366615154
73.0,307.18015585744286,262.3141727182718
74.0,302.3760482942378,260.0273716521526
75.0,300.97663283563537,260.63551464006304
76.0,306.506152342386,265.808115326829
77.0,308.04038479956273,266.4621014462577
78.0,304.9960315976905,261.8723655811093
79.0,310.0334972099559,265.6946857658295
80.0,306.7714972352732,265.1019864988895
81.0,315.1193197308268,273.60143227626116
82.0,320.59252370065644,279.3560543517426
83.0,322.5751419897922,280.14437314296146
84.0,324.70497078672236,279.41734507790903
85.0,331.5225757912122,285.461180135208
86.0,337.2059220071173,292.23207982299743
87.0,341.45647363294034,296.9033757134106
88.0,347.05394151271463,300.8845074944823
89.0,348.21479019330394,300.8263989090906
90.0,352.38175437177864,302.54619831542567
91.0,348.93089590835467,300.36645161089484
92.0,354.99509696554986,306.3987438753576
93.0,363.7137293392487,315.002322212299
94.0,360.7135724891359,311.94004368047115
95.0,367.26035253529864,316.2967501790325
