Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,,
1.0,,
2.0,,
3.0,,
4.0,,
5.0,,
6.0,,
7.0,-2.621459728506787,
8.0,-4.145342081447963,
9.0,-3.916985294117647,
10.0,-2.0471398190045247,
11.0,1.1934984162895925,
12.0,0.2903542986425339,
13.0,-2.037991742081448,
14.0,-3.1974821266968325,
15.0,-2.645014366515837,
16.0,-1.3848694570135747,
17.0,0.41701323529411766,
18.0,-1.8845426470588234,
19.0,-4.5485888009049775,
20.0,-3.666493947963801,-2.408853397700374
21.0,-3.701542307692308,-1.2999083113841017
22.0,-2.1899257352941173,-0.16064978132883562
23.0,-0.36491498868778277,-0.6676523825116201
24.0,-0.6679071832579184,-2.9863203094807664
25.0,-2.719094966063348,-3.084078621874355
26.0,-4.30713721719457,-1.7037009988650402
27.0,-3.896506278280542,-0.030871370186819028
28.0,-2.1655068438914027,-1.8972245264048402
29.0,-0.4338536764705882,-1.566729695971368
30.0,-0.9335074660633483,-0.3368027988457314
31.0,-2.7505297511312214,-0.2733591627034112
32.0,-3.5541630090497733,-1.2321145287272959
33.0,-2.7595731900452485,-2.722288157185352
34.0,-0.4940063348416288,-3.2261655703657657
35.0,0.6595824095022624,1.753159838641389
36.0,-0.6664677601809954,-0.23527794300050064
37.0,-2.877319626696832,-1.0674687941902077
38.0,-3.8323595588235295,-2.6715219697583574
39.0,-2.841308993212669,-3.4616659640403027
40.0,-0.2440767533936652,-3.417973324098275
41.0,1.2857669683257917,0.4868463784040431
42.0,0.4899204751131222,1.7168035915330813
43.0,-1.4421994343891402,-1.7669304232471776
44.0,-2.1501312782805426,-0.8963342350833644
45.0,-1.0538544683257918,-0.266086921412509
46.0,1.0021642533936652,0.6155100565027773
47.0,1.3036904977375563,1.7159421051039658
48.0,-0.2495257352941176,-2.809509858634168
49.0,-1.8638582013574658,-1.9091722313232466
50.0,-2.5437605769230767,-1.2727615701745645
51.0,-1.2462906108597285,-0.19824810469260337
52.0,0.9991201923076922,0.8544200806812574
53.0,1.1592651583710407,3.536387073458545
54.0,-0.5631127262443438,-4.163233635454949
55.0,-2.514524886877828,-3.0885256356187067
56.0,-2.4582800339366515,-1.2818765285376603
57.0,-1.1552848981900452,-0.5354194149569913
58.0,0.34315011312217186,1.560554110106944
59.0,-0.3085917420814479,-3.394712790564887
60.0,-2.496906843891402,-3.3172624409459566
61.0,-3.0517596719457014,-1.9277128270922135
62.0,-2.5725361990950226,-0.6021094231258338
63.0,-1.0142594457013574,-0.7109863497379422
64.0,0.07713399321266969,0.17703290152063464
65.0,-0.578785011312217,-1.1965031434228808
66.0,-2.3959425904977376,-0.8990353189959331
67.0,-3.306576809954751,-0.3668405989231898
68.0,-2.6029905542986422,-1.5878113967431327
69.0,-0.3539592194570136,-1.9076340341058007
70.0,1.3253815045248867,0.3514177521372896
71.0,0.5858891968325792,1.5064717198593118
72.0,-0.9877112556561086,-1.3138972672017273
73.0,-1.3021236425339366,-0.2805043007505004
74.0,-0.7752345588235294,-1.725053783899412
75.0,0.900171040723982,2.4058879486394096
76.0,1.502108031674208,0.13903127132533494
77.0,0.3354220588235294,1.6290302028139214
78.0,-1.2312240950226245,-1.1898765770118136
79.0,-1.6152138574660633,-0.07237837826355971
80.0,-0.746001923076923,-0.5891964054658712
81.0,1.1382493212669682,0.4912433987390912
82.0,1.0088361990950225,1.5475220681381123
83.0,-0.8469130090497736,-1.9274294244535541
84.0,-2.2427153846153844,-1.3241500755605673
85.0,-1.6039664592760179,-0.19336818801841232
86.0,0.05937743212669683,1.48816485327752
87.0,1.9831745475113118,0.8217942217909828
88.0,2.3837601244343887,1.3369657460539344
89.0,1.2331130656108598,1.3039462590561692
90.0,-0.29591515837104065,-0.3984540312829804
91.0,-0.5821208144796379,-2.389265659977503
92.0,0.6238721153846154,3.3528451100360686
93.0,1.7769299208144795,2.553701502184972
94.0,0.824479242081448,0.6693446394191747
95.0,-1.099268778280543,-0.5536958055564719
96.0,-2.1392436651583706,-1.7839117045826094
97.0,-1.66752007918552,-2.9980110882700806
98.0,0.18246148190045264,3.856680128805394
99.0,1.5098350113122172,2.375801914920655
100.0,0.4155511312217194,0.36586168797430296
